row_id,주제,내용,상세내용,주장/검증매체
64,경제,"""韓, 가정용 전기요금 G7 등 8개국 중 가장 싸…日의 40% 수준""","['전력', '하는', '일본', '한국', '요금', '했다', '의존', '가정', '전기요금', '가장', '생산', '가량']",연합뉴스
65,경제,부산시민 부담 커질 듯…택시 이어 버스·도시철도 요금도 인상,"['요금', '인상', '시내버스', '도시철도', '했다', '부담', '교통카드', '조정', '적용', '시행', '구간', '부산', '시민', '위원회', '한다', '추가', '이후']",서울경제
66,경제,트럼프 4번째 기소에 마피아처벌법 적용…당선시 셀프사면 불가,"['트럼프', '대통령', '기소', '조지아주', '했다', '혐의', '리코', '범죄', '적용', '대선', '있다', '선거', '하는', '미국', '검찰', '위해', '이번', '유지', '보고서', '발표', '연합뉴스', '대해', '조직', '뒤집기', '있는', '경우', '블룸버그', '통신', '사면', '연방', '정치', '비용']",연합뉴스
67,경제,"HD현대중공업, '8000억' 호위함 사업 심사결과 반발 ""불합리한 심사규정""","['중공업', '방사청', '한화', '오션', '했다', '심사', '울산', '번함', '신청', '배치', '규정', '감점', '현대', '가처분', '보안사', '결과', '따라', '사업', '관련', '점수', '기소', '불합리', '호위함', '법적', '법원', '결정', '개정', '건조', '우선', '협상', '대상자', '선정', '보안', '지난', '관계자', '있다', '판단', '대상', '공정한', '전력', '입장', '향후', '추진', '합리', '경쟁', '기술', '불법', '촬영', '직원', '확정', '이번', '대해']",더팩트
68,경제,대전지역 집값 바닥 쳤나,"['증가', '낙찰', '부동산', '가율', '상승', '담대', '대전', '지역', '시장', '가격', '아파트', '회복', '연체', '했다', '매맷값', '부채', '매매', '수요', '금리', '주택', '대출', '받는', '상승세', '계속', '지난달', '이후', '서구', '유성구', '지난해', '같은', '은행', '인해', '상황']",대전일보
69,경제,"농민단체 ""쌀값 폭락 조장, 정부양곡 방출 계획 철회를""","['정부', '쌀값', '광주', '농민', '방출', '했다', '연맹', '시장', '수확']",뉴시스
70,경제,공급부족에 쌀값 2008년 이후 최고…오렌지주스 선물도 사상최고,"['오렌지', '태국', '가격', '수출', '했다', '공급', '지역', '주요', '상승', '가뭄', '인도', '감소', '출국', '부족', '아시아', '최고', '같은', '하는', '선물', '주스', '지난해']",연합뉴스
71,경제,베트남·태국 쌀 수출가격 15년 내 최고…국제 쌀 시장 요동치나,"['수출', '인도', '가격', '했다', '베트남', '태국', '국제', '상승', '금지', '최고', '정부', '올랐다', '따르면', '대비', '평균', '견줘', '곡물', '장립', '지난해', '가량', '품종', '제외', '백미', '나라', '전달']",농민신문
72,경제,[알면 쏠쏠한 경제 비크닉] 스테이블코인 vs 예금토큰…디지털 화폐 승자는,"['예금', '토큰', '있다', '테이블', '코인', '은행', '화폐', '발행']",중앙일보
73,경제,"""3만 원 권 지폐는 왜 안 나올까?""…한국만 '이 체계' 따른다","['체계', '액면', '화폐', '하는', '우리나라', '생각', '국가', '우리', '지폐', '시작', '이제', '사용', '있는데요', '있습니다', '거래', '비용', '도입']",SBS
74,경제,여당의 무용론 여당의 육성론…지역화폐 아이러니 [視리즈],"['지역화폐', '정책', '입니다', '지자체', '인천', '캐시', '활성화', '하는', '정부', '올해', '국고', '여당', '효과', '있습니다', '혜택', '예산', '했습니다', '가맹', '지원', '소속', '발행', '경제', '규모', '때문', '한도', '이를', '비율', '국민', '카드', '지역', '나선', '들어', '여야', '조정', '확대', '상생', '거래']",더스쿠프
75,경제,[알쏭달쏭 화폐 이야기] ②지폐에도 독도가 그려져 있다?…200원짜리 동전 있다? 없다?,"['지폐', '화폐', '있다', '독도', '우리나라', '동전', '매일경제', '사용', '오천원', '만원', '체계', '발행', '있을까', '공통점', '초상화', '오른쪽', '위치', '액면', '주화', '기념', '중앙', '초상']",매일경제
76,경제,"'출시 100일' 나이트크로우 매출 상위권...위메이드 ""장기 흥행 노린다""","['위메이드', '나이트', '크로우', '있다', '이용자', '이벤트', '서버', '했다', '출시', '하는', '그룹', '성화', '서비스', '엔진', '이상', '개발', '출석', '보상', '레벨', '하면', '있는', '기념', '제작']",아이뉴스24
77,경제,"40만원 싸진 '갤Z폴드3·Z플립3, 오늘부터 예판…""최대 110만원 중고폰 보상""","['갤럭시', '제공', '예약', '구매', '폴드', '플립', '개통', '한다', '삼성', '서비스', '있는', '다양한', '전자', '하는', '구독', '추첨', '통해', '있다', '쿠폰', '더블', '최대', '제휴', '브랜드', '개월', '경품', '증정', '오는', '진행', '혜택', '골프', '또한', '구성', '커버', '에어', '전원', '이동통신', '예약판매', '뉴스', '소비자', '중고', '보상', '프로그램', '받을', '인기', '할인', '프리미엄', '케이스', '액세서리', '패키지', '키트', '백화점', '상품권', '방송']",뉴스1
78,경제,착한가게·친환경·한정판… ‘휘소가치’엔 아낌없이 지갑 연다,"['세대', '소비', '하는', '자신', '했다', '명품', '가치', '있다', '한다', '능력', '구매', '사는', '아니라', '전기차', '치킨', '통해', '업체', '소비자', '영향력', '행사', '지난해', '브랜드', '생각', '기준', '친환경', '이런', '신조어', '품질', '시장', '가치관', '대가', '박스', '환경', '없다', '기자']",조선일보
79,경제,‘관찰카메라 24’ 2021 新 소비 트렌드 ‘보상소비’를 하는 MZ세대 관찰,"['소비', '관찰', '음식', '보상', '하는', '채널', '연출', '푸드', '스타일', '리스트', '했다', '있다', '광고', '카메라', '이수', '나를', '명품', '백화점']",채널A
80,경제,금리 인상에도 저축은행 왜 적자 날까,"['금리', '저축은행', '대출', '최고', '법정', '은행', '금융', '부업', '수익', '시장', '있다', '시중', '서민', '적자', '관리', '한다', '상반기', '지난해', '했다', '예금', '자금', '대부', '올해', '하는', '조달', '비용', '불법', '탄력', '업체', '하기', '관계자', '순이익', '전환', '효과', '서다', '업계', '높은', '수신', '증가', '전문가', '사금융', '우려', '해야', '최근', '정기예금', '기준', '시행', '하반기', '신용', '연동', '취약', '계층']",매경이코노미
81,경제,카드사 여전채 금리 상승 '골머리'…소비 늘어도 '겹악재',"['카드', '금리', '상승', '조달', '연체', '증가', '올해', '전채', '했다', '비용', '하는', '금융', '있다', '하면', '업계', '평균', '수준', '가능성', '실적', '부진', '있지만', '하다', '건전성', '한다', '지난해', '채권', '시장', '평가', '차주', '우려', '둔화', '승인', '소비']",데일리안
82,경제,"카드사들, '리볼빙 장사' 여전…10명 중 4명은 최고금리","['카드', '리볼빙', '금리', '기준', '했다', '수수료', '잔액', '납부', '금융', '서비스', '결제', '분할', '이용', '상품', '추가', '적립', '설명', '있는', '수준', '고정', '비교', '당국', '나타났다', '하는', '신용카드', '대비', '연체', '회원']",뉴시스
