row_id,주제,내용,상세내용,주장/검증매체
971,경제,담배 1갑 가격이 가장 비싼 국가 vs 가장 싼 국가 Top 10,"['담배', '연간', '흡연', '세금', '수입', '나이지리아', '달랍니다', '국가', '호주', '카자흐스탄', '입니다', '통해', '세계', '비량', '이상', '인당', '됐습니다', '남성', '가장']",지식스쿨
972,경제,한 갑에 8000원으로?…담뱃값 인상 검토에 벌써부터 '사재기' / JTBC 뉴스ON,"['그런', '음주', '사람', '흡연', '생각', '별로', '같은', '담배']",JTBC News
973,경제,"[재밌는 짤] 담배값 8,000원 인상?","['담배', '피는', '가격', '세금', '과도', '대응']",[공식] 새날
974,경제,5천만원 목돈 만들기! 청년도약계좌 출시! (정부지원금 꼭 챙기세요!),"['가입', '상품', '있는', '통해', '청년', '부분']",금융의정석
975,경제,"5월 1일부터 신청하는 5가지! 직장인, 청년, 저소득층, 자영업자, 프리랜서 등","['신청', '지급', '미만', '인천', '청년', '합니다', '소득', '가구']",복지마블TV [Welfare Marble]
976,경제,"철강회사 관심있는사람 필수; 국내 철강산업 구조, 제품, 회사 짧은 정리","['현대', '있는', '철강', '있습니다', '제철', '산업', '동국제강', '스틸', '관심', '합니다', '회사', '포스코']",스댕왕 철대리
977,경제,주식 투자] 한미정상회담 남북경협주 운명은 주도주 부국철강 수출포장 팬스타엔터프라이즈 용평리조프 현대로템 팬엔터테엔먼트 한국팩키지 사람인에이치알 김보현 4차산업 제약,"['여러분', '시장', '투자', '도주', '이제', '싸게', '그런', '원칙', '여기', '향후', '있는', '신청', '카톡']",골드크로스주식
978,경제,美 다음 목표는 한국 철강...수입 규제 총동원 / YTN,"['철강', '제품', '미국', '있습니다', '무역', '포함', '확장', '트럼프', '대통령', '경우', '조치']",YTN
979,경제,[알고살자 국민연금①] 국민연금 많이 받는 법! 알려드리겠습니다,"['연금', '제도', '보험료', '가입', '국가', '국민연금', '해서', '겁니다', '지원', '하는']",알고살자
980,경제,"국민연금 100만원 이상 수급자, 몇 명이나 될까?","['주택', '생각', '소득', '축소', '방법', '노후', '있습니다', '보다']",콕알 TV _은퇴해법&동기부여
981,경제,"다주택, 무소득도 '이렇게' 대출 다~ 됩니다^^ 대출규제 모~두 풀렸어요^^","['이런', '소득', '오늘', '우리', '내용', '공부', '증빙', '세금']",월세모닝콜TV - 소액경매
982,경제,"재벌 공익재단 전수조사...""자발적 개혁 의지 의구심"" / YTN","['공익', '조사', '했습니다', '열사', '취지', '재단', '위원장', '경영']",YTN
983,경제,유가 고공행진에 정유-화학사 '울상'...앞으로가 더 걱정 / 머니투데이방송 (뉴스),"['유가', '입니다', '상승', '가격', '제품', '때문', '마진', '하는']",MTN 머니투데이방송
