row_id,내용,상세내용,주장/검증매체
71,주택 매매 심리 상승국면 전환전세도 하강서 보합으로 집슐랭,"['주택', '상승', '매매', '전국', '기록', '서울', '포인트', '경기', '시장', '부동산', '소비', '하락', '지수', '전월', '이후', '심리', '지난달', '연구원', '전환', '위주']",서울경제
72,농민단체 쌀값 폭락 조장 정부양곡 방출 계획 철회를,"['방출', '광주', '쌀값', '수확', '정부', '연맹', '시장', '농민']",뉴시스
73,3만 원 권 지폐는 왜 안 나올까한국만 이 체계 따른다,"['도입', '시작', '사용', '우리나라', '국가', '체계', '비용', '화폐', '거래', '생각']",SBS
74,여당의 무용론 여당의 육성론지역화폐 아이러니 리즈,"['카드', '한도', '조정', '활성화', '규모', '지역', '인천', '예산', '지원', '소속', '발행', '지역화폐', '국민', '거래', '올해', '정책', '효과', '가맹', '국고', '확대', '정부', '매출', '여야', '비율', '상생', '혜택', '여당', '지자체']",더스쿠프
75,출시 100일 나이트크로우 매출 상위권위메이드 장기 흥행 노린다,"['출시', '그룹', '서비스', '기념', '보상', '이벤트', '개발', '엔진', '위메이드', '이상', '출석', '이용자', '플레이', '제작']",아이뉴스24
76,40만원 싸진 갤Z폴드3Z플립3 오늘부터 예판최대 110만원 중고폰 보상,"['전자', '프리미엄', '서비스', '패키지', '프로그램', '구매', '구성', '이동통신', '인기', '골프', '보상', '상품권', '커버', '폴드', '브랜드', '진행', '삼성', '예약', '소비자', '쿠폰', '플립', '방송', '최대', '뉴스', '키트', '할인', '제공', '갤럭시', '개통', '백화점', '부터', '혜택', '제휴']",뉴스1
77,착한가게친환경한정판 휘소가치엔 아낌없이 지갑 연다,"['대가', '영향력', '친환경', '행사', '업체', '구매', '품질', '전기차', '세대', '가치', '자신', '환경', '기자', '기준', '브랜드', '박스', '시장', '소비', '소비자', '능력', '명품', '가격', '지난해', '생각']",조선일보
78,관찰카메라 24 2021  소비 트렌드 보상소비를 하는 MZ세대 관찰,"['소비', '카메라', '보상', '광고', '백화점', '채널', '리스트', '음식', '명품', '수도', '푸드']",채널A
79,뉴욕증시 채권금리 상승에 하락분당 흉기난동에 14명 부상 모닝브리핑,"['경찰', '전날', '심사', '관련', '대책', '영장', '상승', '시공', '업체', '금리', '흉기', '예고', '오후', '국회', '회의', '청구', '거래', '긴급', '하락', '살인', '설계', '철근', '지수', '장기', '기온', '오늘', '위반', '의혹', '증시', '수사', '체포', '혐의', '상황', '사건', '의원', '국채', '누락', '감리']",한국경제
80,부모 10년 간호해 재산 상속받았는데연락 한통 없다가 소송건 친누나,"['재판', '지급', '부친', '판결', '소송', '재산', '상속', '유산']",파이낸셜뉴스
81,다른 여자 생겼냐 묻자 그렇다양육비도 안 주고 상속 부동산도 처분한 남편,"['사진', '관계', '혼인', '포함', '남편', '대상', '상속', '경우', '이후', '분할', '재산', '부동산']",서울경제
82,집값 떨어진 지금이 상속증여 기회  낮아진 감정평가 유리 지갑을 불려드립니다,"['주택', '해당', '시가', '평가', '증여', '증여세', '재산', '일부', '개정', '공시가격', '건물', '개별', '방법', '고민', '시장', '부동산', '거래', '세법', '과세', '상속세', '감정', '세금', '부담', '자산', '경우', '정부', '방식', '절세', '관심', '산정', '부터', '가격', '상속', '당국']",매일경제
